success,num_tillers,number_of_leaves_right,longest_leaf_length_right,number_of_leaves_left,longest_leaf_length_left
False,2,NA,NA,NA,NA
False,1,NA,NA,NA,NA
False,1,4,742.5243852138519,3,1061.6067690849304
False,1,6,799.5579986572266,4,759.8380935192108
NA,1,NA,NA,4,913.7051863670349
False,3,NA,NA,NA,NA
False,2,NA,NA,NA,NA
False,2,NA,NA,NA,NA
False,1,3,852.2523070573807,3,864.662512242794
False,1,4,591.5559107065201,3,781.0828220844269
False,3,NA,NA,NA,NA
False,2,NA,NA,NA,NA
NA,1,3,731.5350956320763,3,682.6959581375122
False,1,NA,NA,NA,NA
False,1,4,751.7558771967888,4,731.8969686031342
False,1,NA,NA,NA,NA
False,1,NA,NA,3,599.3193663954735
False,1,NA,NA,NA,NA
False,1,3,655.1051193475723,4,727.4503531455994
False,1,4,808.391478061676,5,890.3204103708267
False,2,NA,NA,NA,NA
False,1,4,796.4833608269691,4,781.6980460882187
False,1,NA,NA,4,818.0483322143555
False,2,NA,NA,NA,NA
NA,1,3,731.5350956320763,3,465.33556735515594
False,1,4,591.2361060976982,3,820.222869515419
False,2,NA,NA,NA,NA
False,4,NA,NA,NA,NA
NA,1,NA,NA,4,574.3437516093254
NA,1,4,388.78531473875046,3,465.33556735515594
False,1,4,742.5243852138519,4,708.5954529047012
False,1,NA,NA,5,890.3204103708267
False,1,NA,NA,NA,NA
False,1,NA,NA,4,934.0117543935776
False,1,NA,NA,NA,NA
False,NA,NA,NA,NA,NA
False,1,4,796.018288910389,4,818.0483322143555
False,1,NA,NA,NA,NA
False,1,NA,NA,3,864.662512242794
False,2,NA,NA,NA,NA
False,3,NA,NA,NA,NA
NA,1,4,727.5458060503006,4,862.1208820939064
NA,1,4,696.4675980806351,3,682.6959581375122
False,1,NA,NA,4,857.7468165159225
False,1,3,818.3477599620819,3,1061.6067690849304
False,1,NA,NA,3,781.0828220844269
NA,1,4,388.78531473875046,4,862.1208820939064
False,3,NA,NA,NA,NA
False,2,NA,NA,NA,NA
False,1,4,805.7787802219391,4,835.5458060503006
False,1,4,920.235062122345,4,844.9924215078354
False,1,NA,NA,4,781.6980460882187
False,1,NA,NA,5,775.7802624106407
False,1,5,749.5437180995941,4,727.4503531455994
False,1,NA,NA,4,731.8969686031342
False,1,4,591.2361060976982,NA,NA
NA,1,NA,NA,4,910.2249574661255
False,1,4,742.5243852138519,4,844.9924215078354
False,1,6,799.5579986572266,3,851.2478604912758
False,1,3,1002.7539567947388,4,857.7468165159225
False,1,5,749.5437180995941,NA,NA
False,2,NA,NA,NA,NA
False,1,NA,NA,NA,NA
False,1,NA,NA,4,640.210676908493
False,3,NA,NA,NA,NA
False,2,NA,NA,NA,NA
False,1,4,796.4833608269691,3,802.8990565538406
NA,1,5,488.59545290470123,4,574.3437516093254
False,1,NA,NA,4,707.1782749891281
False,1,NA,NA,NA,NA
False,1,NA,NA,NA,NA
False,1,3,811.7548332214355,4,707.1782749891281
False,1,4,592.3549002408981,3,599.3193663954735
False,1,3,811.7548332214355,4,601.1366448402405
False,1,4,805.7787802219391,3,802.8990565538406
False,1,4,920.235062122345,4,708.5954529047012
False,1,NA,NA,4,759.8380935192108
False,2,3,574.8940042257309,4,640.210676908493
False,1,NA,NA,NA,NA
False,1,NA,NA,NA,NA
NA,1,4,696.4675980806351,4,910.2249574661255
False,1,NA,NA,NA,NA
False,1,NA,NA,NA,NA
False,2,NA,NA,NA,NA
